id,countries,ISO_A3,y_1987,y_1988,y_1989,y_1990,y_1991,y_1992,y_1993,Y_1994,y_1995,y_1996,y_1997,y_1998,y_1999,y_2000,y_2001,y_2002,y_2003,y_2004,y_2005,y_2006,y_2007,y_2008,y_2009,y_2010,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019
169,Cameroon,CMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.280257,2.742013,4.008517,2.181243,5.68261,1.959277,1.587547,2.661892,2.879248,0.762727,1.882772,3.536963,3.61733
170,Reunion,REU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.060798,2.073604,2.009443,5.057345,6.060029,4.022267,1.012652,2.15251,2.020047,3.224812,3.676309,4.244673,3.401804
171,Moldova,MDA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.493255,1.751524,1.527749,1.738261,1.813306,2.886133,2.620999,1.406294,2.478255,2.229668,2.033817,3.280861,3.280662
172,Burkina Faso,BFA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.033665,0.010063,1,2.002493,1.229505,2.036292,3,2.044238,1.048957,2.023079,2.263731,2.072522,3.085752
173,Niger,NGA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.045035,7.187252,4.148185,4.634413,3.724335,3.939376,1.634479,2.292769,3.662474,2.641183,2.927025,4.576406,3.025162
174,Kyrgyzstan,KGZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.423379,2.295283,2.084853,1.038853,1.184476,1.144174,1.075048,1.261082,1.062111,1.053251,2.292528,1.242979,2.607973
175,Guyana,GUY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.862419,0.967728,1.223895,0.783219,1.710455,1.700908,0.439671,1.410173,1.356871,1.391382,1.472037,2.278566,2.431931
176,Palau,PLW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.031837,1.004488,1.006819,2.258692,3,4.001668,3.009592,2.016605,2.001377,1.00761,1.474962,1.173364,2.137505
178,Niue,NIU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031523,2.018835,2.042535,1.01014,1.021535,1.01035,2.002819,1.050011,2.028774,2.078782,2.010084,2.007386,2.023032
180,Christmas Island,CXR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.511732,16.925103,0,2.498629,6.435977,6.35839,2.519443,6.464723,1.246352,2.852112,1.386753,1.232222,1.913081
