id,countries,y_1987,y_1988,y_1989,y_1990,y_1991,y_1992,y_1993,Y_1994,y_1995,y_1996,y_1997,y_1998,y_1999,y_2000,y_2001,y_2002,y_2003,y_2004,y_2005,y_2006,y_2007,y_2008,y_2009,y_2010,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019
95,Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.335771,68.896387,17.776396,22.379575,17.844868,20.480306,165.909265,122.701835,165.526491,109.69303,71.691754,50.613031,78.479656,51.239407
96,Tonga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.110875,32.939175,39.186367,32.65384,33.518283,30.528072,25.976229,31.173689,35.52168,43.324337,44.828391,50.72395,60.783666,47.879018
97,Kazakhstan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.354677,25.903527,22.362027,19.782458,28.776794,56.422426,54.032465,59.110445,30.49437,33.046348,31.17006,32.202517,42.078381,47.548124
98,Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.095001,14.326565,11.122671,33.671805,56.852912,25.706978,24.560569,15.308198,8.009291,5.483884,8.039796,18.212524,117.734718,45.586017
99,Botswana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.152405,37.873821,29.570253,22.858021,21.4449,21.82195,22.418206,19.21743,18.521674,16.119814,13.359694,13.583429,16.734789,43.550451
100,Iraq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.235157,101.025518,209.135724,220.137499,353.215924,206.217352,620.065131,363.972477,136.432092,96.617514,84.251235,200.940538,233.808638,43.379769
101,Slovak Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.30175,54.786976,58.433742,54.347217,57.257362,55.196723,55.159727,62.189936,61.406426,73.07896,57.798923,48.449888,49.736406,42.573219
102,Ecuador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.352809,17.25946,13.333482,14.425641,18.782944,24.434168,28.179735,54.552883,61.530144,54.752303,48.608693,55.925773,49.284486,39.826535
103,Mali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.859413,26.205312,25.110857,18.764173,24.353832,20.552548,45.517413,28.099904,20.445042,18.355465,20.982373,19.451333,21.53219,39.285434
104,Zambia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.48098,110.17768,54.643992,52.796887,55.506525,58.921946,59.037094,53.210381,56.431102,38.747101,49.771038,42.434855,41.742381,38.247234
105,Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.704209,13.864113,10.581045,13.032567,15.535948,22.156969,23.070656,25.410711,32.795241,34.894301,34.095288,36.69022,39.964323,37.645745
106,Morocco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.527054,16.531546,39.580263,35.598719,34.301133,21.049993,38.384206,40.532273,38.465782,20.440072,47.515696,26.526746,26.404423,36.61451
107,Trinidad & Tobago,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.825857,21.394093,20.349643,81.766277,103.915461,20.234568,16.965447,21.054625,28.493766,18.160625,24.906265,27.598493,28.504146,36.444921
108,Jamaica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.985433,32.370419,27.599967,22.34954,19.890894,14.393245,17.585577,15.283327,29.019015,28.245761,17.337833,25.680626,32.75786,34.172515
109,Kiribati,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.756786,34.55723,29.882507,32.960651,32.535026,40.55957,34.698841,34.637746,36.912388,34.829779,29.482435,29.195462,27.579662,33.247122
110,Senegal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.323131,40.716434,35.619324,14.710537,33.471625,65.640725,74.540693,22.007828,18.048075,26.945502,106.17205,54.904501,27.022314,30.441341
111,Venezuela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.929056,33.752072,51.408149,59.269644,42.456432,45.15325,49.988886,44.994231,117.83369,94.167374,117.944541,87.512289,4.193894,29.887193
112,Madagascar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.327919,9.447721,27.051842,13.690047,33.304367,12.896643,19.565829,17.849368,13.064615,9.75626,19.389554,26.226468,30.834274,29.542983
113,Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.518987,20.150998,16.666978,15.367452,16.068902,16.971088,18.912986,21.685318,19.427926,15.684231,21.225277,27.52455,34.780843,28.272361
114,Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.644968,39.655678,49.229935,62.170703,126.929479,26.293583,23.503657,23.041928,21.864665,18.251251,22.465873,33.640431,22.393448,27.783412
115,Christmas Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.406274,20.579744,24.884181,57.570483,51.239732,33.328893,49.762413,56.798085,29.918564,30.846364,38.605142,33.673848,36.13178,27.463493
116,Gabon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79078,1.5615,3.537877,2.281102,2.966034,4.105902,4.467511,6.776845,20.717232,3.07408,1.290829,3.155684,2.424358,27.42943
117,Ethiopia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.635999,4.236962,6.661942,7.604054,9.240687,8.929926,9.30193,12.241159,13.720912,14.99396,16.13911,17.304184,21.342314,25.145413
118,Bahamas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.631233,7.788348,13.799707,2.627535,3.255717,2.451317,6.032952,8.537625,9.130295,12.1724,17.142043,26.722284,22.356273,23.546268
119,Uruguay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.350856,29.637544,22.887874,14.258843,19.003489,12.931033,24.548098,12.443128,19.339975,18.316157,18.580177,19.346902,39.713887,23.05967
120,Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.754945,21.300296,38.189395,40.217515,32.120146,18.944563,20.228038,23.302679,21.781027,29.024332,25.730411,22.792886,21.298263,22.763235
121,Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.516458,6.852905,2.621497,14.771215,7.064891,20.460805,20.720535,7.314939,18.394436,22.74024,20.411235,26.46675,33.244229,22.372401
122,Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.4829,11.479348,19.265742,25.650892,24.655892,24.615118,24.266066,24.788832,22.728266,20.978112,22.561384,21.708522
123,North Macedonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.036966,15.255684,18.018247,15.910283,18.266758,19.761687,20.403508,25.618282,22.366126,20.905696,20.173656,21.974974,25.080216,20.652377
124,Gibraltar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.279358,3.10315,11.55702,18.337753,22.126822,1.859063,2.081188,1.131294,3.810746,1.026814,1.0461,0.044472,32.141578,19.166387
125,Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.43109,26.613254,25.629869,21.271053,22.728414,22.918749,18.65361,18.311861,18.099007,21.523739,20.312666,26.40837,35.946638,19.145572
126,Uzbekistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.755943,3.933055,5.932874,5.570203,4.3916,4.035161,9.294453,5.082972,7.697343,7.811777,7.02867,10.728623,12.774612,18.654813
127,Republic of Congo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.164115,1.253628,109.349729,79.100075,71.487634,9.921857,15.274169,17.741549,29.643574,10.725501,2.004147,3.261927,1.749207,18.244301
128,Dominican Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.610911,8.887308,13.231769,12.714547,12.067892,15.532866,6.933765,11.584625,9.422962,10.420539,10.4307,13.173677,18.600497,15.596502
129,Sudan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,2,2,234.726013,277.060986,107.494411,9.811022,11.919074,14.578486,17.74603,15.328217
130,Sierra Leone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.054548,5.031054,1.602955,7.382585,16.492794,18.419424,9.419652,10.492727,8.6962,5.838265,3.399672,5.792741,16.692582,15.123002
131,Norfolk Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.430408,23.170485,23.696823,21.63331,15.748309,17.083537,12.690237,11.339795,16.053315,19.501687,14.893217,12.171275,13.313717,14.558913
132,Cook Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.458335,15.33857,21.288176,17.880393,11.954222,14.143348,12.430966,12.821159,16.531999,15.889889,14.238366,34.548155,16.88985,14.349381
133,Guam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.134779,17.330761,17.470294,18.883467,21.136859,20.191489,17.049139,15.809586,19.172242,12.889817,16.208902,13.136606,11.107179,14.21111
134,Uganda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.172287,11.283593,15.75244,10.99401,8.01784,11.098973,38.893541,31.40872,23.706561,24.173699,36.582925,21.651504,14.963174,14.153515
135,Suriname,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.299083,5.714769,6.390107,5.903365,3.275126,4.332428,6.217284,6.26738,4.667689,7.04732,2.665923,4.48252,16.145525,13.24096
136,namibia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.311774,11.914538,17.66415,32.059385,18.749431,19.00666,29.573283,31.39356,20.062511,12.126466,15.782508,14.013576,12.497822,11.685394
137,Kyrgyzstan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.276296,3.580704,3.162604,1.997046,4.036006,3.462663,3.582849,4.191914,3.376769,3.1644,3.081651,2.988087,2.87305,11.558121
138,Marshall Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.370676,6.67809,11.218098,3.72702,2.26144,4.698722,9.143901,10.334001,4.618496,8.253141,5.128367,7.316116,12.107833,11.364913
